Index	xSource	ySource	xTarget	yTarget
  195	   2066	   1039	   2066	   1039
  196	    143	   1136	    145	   1136
  197	    241	   1139	    241	   1139
  198	    342	   1143	    342	   1143
  199	    443	   1144	    444	   1143
  200	    548	   1146	    549	   1147
  201	    653	   1148	    653	   1148
  202	    760	   1150	    760	   1150
  203	    868	   1151	    869	   1152
  204	    978	   1152	    978	   1152
  205	   1086	   1153	   1086	   1154
  206	   1197	   1154	   1197	   1154
  207	   1307	   1154	   1306	   1155
  208	   1417	   1154	   1417	   1154
  209	   1526	   1154	   1526	   1154
  210	   1636	   1152	   1636	   1152
  211	   1745	   1152	   1745	   1152
  212	   1850	   1150	   1850	   1150
  213	   1957	   1150	   1957	   1150
  214	   2061	   1146	   2061	   1146
  215	    148	   1238	    148	   1238
  216	    246	   1242	    246	   1242
  217	    345	   1246	    345	   1246
  218	    447	   1248	    448	   1250
  219	    550	   1252	    550	   1252
  220	    655	   1253	    656	   1252
  221	    762	   1255	    762	   1255
  222	    869	   1258	    868	   1258
  223	    976	   1259	    976	   1259
  224	   1086	   1260	   1088	   1260
  225	   1196	   1260	   1196	   1260
  226	   1305	   1263	   1305	   1263
  227	   1416	   1262	   1416	   1262
  228	   1525	   1260	   1525	   1260
  229	   1633	   1260	   1633	   1260
  230	   1740	   1260	   1740	   1260
  231	   1848	   1258	   1848	   1258
  232	   1953	   1255	   1953	   1255
  233	   2057	   1252	   2057	   1252
  234	    153	   1340	    153	   1342
  235	    250	   1344	    250	   1344
  236	    450	   1352	    450	   1352
  237	    554	   1355	    554	   1355
  238	    764	   1360	    764	   1360
  239	    870	   1363	    870	   1363
  240	   1086	   1366	   1086	   1366
  241	   1195	   1367	   1197	   1367
  242	   1414	   1367	   1412	   1368
  243	   1521	   1367	   1521	   1367
  244	   1738	   1364	   1738	   1364
  245	   1844	   1363	   1844	   1363
  246	   2050	   1359	   2050	   1359
