Index	xSource	ySource	xTarget	yTarget
  195	   2066	   1039	   2083	   1047
  196	    143	   1136	     86	   1158
  197	    241	   1139	    197	   1158
  198	    342	   1143	    308	   1158
  199	    443	   1144	    420	   1158
  200	    548	   1146	    531	   1159
  201	    653	   1148	    641	   1159
  202	    760	   1150	    751	   1158
  203	    868	   1151	    864	   1158
  204	    978	   1152	    975	   1158
  205	   1086	   1153	   1085	   1158
  206	   1197	   1154	   1198	   1158
  207	   1307	   1154	   1307	   1158
  208	   1417	   1154	   1418	   1158
  209	   1526	   1154	   1528	   1157
  210	   1636	   1152	   1640	   1159
  211	   1745	   1152	   1751	   1159
  212	   1850	   1150	   1863	   1158
  213	   1957	   1150	   1973	   1159
  214	   2061	   1146	   2084	   1159
  215	    148	   1238	     85	   1269
  216	    246	   1242	    196	   1270
  217	    345	   1246	    308	   1270
  218	    447	   1248	    419	   1269
  219	    550	   1252	    530	   1270
  220	    655	   1253	    642	   1269
  221	    762	   1255	    751	   1270
  222	    869	   1258	    864	   1269
  223	    976	   1259	    975	   1269
  224	   1086	   1260	   1085	   1269
  225	   1196	   1260	   1196	   1270
  226	   1305	   1263	   1306	   1270
  227	   1416	   1262	   1418	   1269
  228	   1525	   1260	   1529	   1269
  229	   1633	   1260	   1639	   1268
  230	   1740	   1260	   1751	   1271
  231	   1848	   1258	   1862	   1270
  232	   1953	   1255	   1973	   1269
  233	   2057	   1252	   2085	   1269
  234	    153	   1340	     86	   1381
  235	    250	   1344	    198	   1380
  236	    450	   1352	    420	   1380
  237	    554	   1355	    529	   1380
  238	    764	   1360	    752	   1381
  239	    870	   1363	    863	   1381
  240	   1086	   1366	   1085	   1380
  241	   1195	   1367	   1196	   1379
  242	   1414	   1367	   1419	   1381
  243	   1521	   1367	   1528	   1381
  244	   1738	   1364	   1751	   1381
  245	   1844	   1363	   1862	   1380
  246	   2050	   1359	   2085	   1379
